,year,sp_ret,port_ret,port_ret10,1+sp_ret,1+port_ret,1+port_ret10,total_sp_ret,total_port_ret,total_port_ret10,ab_ret,ab_ret10
0,2010.0,0.12782706172230718,0.4098158564561158,0.3489416808249533,1.1278270617223072,1.4098158564561158,1.3489416808249532,12.783,40.982,34.89416808249533,0.2819887947338086,0.22111461910264613
1,2011.0,-3.185201602995402e-05,-0.1308771143481198,-0.1239210071443294,0.99996814798397,0.8691228856518802,0.8760789928556706,12.779,22.53,18.177946915816044,-0.13084526233208985,-0.12388915512829944
2,2012.0,0.13405691505961048,0.2203150347578795,0.1804481592387528,1.1340569150596105,1.2203150347578795,1.1804481592387528,27.898,49.526,39.502939899390086,0.08625811969826902,0.04639124417914231
3,2013.0,0.29601250047189054,0.5160706613578736,0.4648754092640889,1.2960125004718905,1.5160706613578736,1.464875409264089,65.757,126.691,104.35442617866269,0.22005816088598307,0.16886290879219834
4,2014.0,0.11390638964265132,0.0980466499495992,0.1034245322478335,1.1139063896426513,1.098046649949599,1.1034245322478335,84.638,148.918,125.48968711896529,-0.015859739693052113,-0.010481857394817815
5,2015.0,-0.007266017033153438,-0.028703164447528,-0.0175406982536774,0.9927339829668466,0.971296835552472,0.9824593017463226,83.297,141.773,121.5344405578954,-0.021437147414374563,-0.010274681220523961
6,2016.0,0.09535011363604262,0.1567192361616952,0.3225935700498594,1.0953501136360426,1.1567192361616951,1.3225935700498594,100.774,179.663,193.00002662646523,0.061369122525652575,0.22724345641381677
7,2017.0,0.1941996696361683,0.2477131664209817,0.2170528319918558,1.1941996696361683,1.2477131664209817,1.2170528319918559,139.764,248.94,256.5965121794287,0.0535134967848134,0.02285316235568749
8,2018.0,-0.06237260721622695,-0.1960376281689336,-0.2309250073262774,0.937627392783773,0.8039623718310664,0.7690749926737226,124.809,180.534,174.24945999186914,-0.13366502095270666,-0.16855240011005046
9,2019.0,0.28878073884163524,0.3577653767313645,0.230473921225688,1.2887807388416352,1.3577653767313644,1.230473921225688,189.73,280.9,237.4568084302227,0.06898463788972925,-0.05830681761594725
10,2020.0,0.16258921060751153,0.3408498492703357,0.3249225010679369,1.1625892106075115,1.3408498492703358,1.3249225010679369,236.837,410.73,347.1041186277743,0.17826063866282416,0.16233329046042538
